description	ERR1513669	ERR1513670	ERR1513671	ERR1513672	ERR1513673	ERR1513674	ERR1513675	ERR1513676	ERR1513677	ERR1513678	ERR1513680	ERR1513681	ERR1513715	ERR1513716	ERR1513717	ERR1513718	ERR1513719	ERR1513721	ERR1513722	ERR1513723	ERR1513724	ERR1513725	ERR1513726	ERR1513727	ERR1513728	ERR1513729	ERR1513730	ERR1513731	ERR1513732	ERR1513733	ERR1513734	ERR1513735	ERR1513736	ERR1513737	ERR1513738	ERR1513739	ERR1513740	ERR1513741	ERR1513742	ERR1513743	ERR1513744	ERR1513745	ERR1513746	ERR1513748	ERR1513749	ERR1513750	ERR1513751	ERR1513752	ERR1513753	ERR1513754	ERR1513755	ERR1513756	ERR1513757	ERR1513758	ERR1513759	ERR1513760	ERR1513761	ERR1513762	ERR1513763	ERR1513764	ERR1513765	ERR1513766	ERR1513767	ERR1513768	ERR1513769	ERR1513770	ERR1513771	ERR1513772	ERR1513774	ERR1513775	ERR1513776	ERR1513777	ERR1513958	ERR1513959	ERR1513960	ERR1513961	ERR1513962	ERR1513963	ERR1513965	ERR1513966	ERR1513967	ERR1513968	ERR1513969	ERR1513970	ERR1513971	ERR1513973	ERR1513974	ERR1513975	ERR1513976	ERR1513977	ERR1513978	ERR1513979	ERR1513980	ERR1513981	ERR1513983	ERR1513984	ERR1513985	ERR1513986	ERR1513987	ERR1513988	ERR1513989	ERR1513990	ERR1513991	ERR1513992	ERR1513993	ERR1513994	ERR1513995	ERR1513996	ERR1513997	ERR1513998	ERR1513999	ERR1514000	ERR1514001	ERR1514002	ERR1514003	ERR1514004	ERR1514005	ERR1514006	ERR1514007	ERR1514008	ERR1514009	ERR1514010	ERR1514011	ERR1514012	ERR1514013	ERR1514014	ERR1514015
D_Primary bile acid biosynthesis	177.886666666667	628.48	627.477777777778	199.514444444444	980.574444444444	482.91	590.098888888889	531.207777777778	379.496666666667	1309.23	991.383333333333	673.031111111111	925.714444444444	488.726666666667	1030.74222222222	301.861111111111	449.835555555556	338.411111111111	873.63	819.366666666667	1149.03	378.026666666667	1170.14444444444	1203.87888888889	1733.33333333333	476.413333333333	687.644444444445	708.828888888889	498.738888888889	1173.62666666667	645.478888888889	697.866666666667	766.863333333333	2847.11111111111	524.91	527.095555555556	1835.26222222222	580.127777777778	199.514444444444	473.617777777778	1171.45555555556	813.756666666667	443	1149.69777777778	580.926666666667	427.375555555556	1377.17777777778	908.917777777778	1248.38222222222	665.656666666667	491.697777777778	1014.21111111111	752.468888888889	480.716666666667	532.644444444445	741.068888888889	464.142222222222	949.733333333333	933.025555555556	463.616666666667	653.755555555556	838.461111111111	326.875555555556	504.716666666667	1276.2	1448.99	927.346666666667	1191.65666666667	114.092222222222	905.173333333333	618.777777777778	1488.20666666667	1050.02777777778	1376.71111111111	384.657777777778	296.314444444444	179.355555555556	748.903333333333	586.921111111111	918.166666666667	855.935555555556	220.508888888889	580.323333333333	362.82	1886.04888888889	271.358888888889	522.408888888889	899.647777777778	396.82	749.535555555556	667.176666666667	2226.99888888889	798.577777777778	419.007777777778	217.79	768.646666666667	641.781111111111	2233.22222222222	304.918888888889	778.394444444445	542.767777777778	568.491111111111	818.771111111111	965.407777777778	574.057777777778	1380.62444444444	137.485555555556	455.182222222222	759.314444444444	846.233333333333	565.924444444444	177.344444444444	1019.62777777778	474.441111111111	991.64	430.731111111111	1749.22444444444	479.178888888889	589.384444444444	550.415555555556	528.066666666667	911.72	180.795555555556	845.581111111111	1281.08888888889	420.388888888889	85.3166666666667
D_Secondary bile acid biosynthesis	1600.98	5656.32	5645.3	1518.63	8825.17	4305.79	5269.09	4780.87	3415.47	11781.07	7885.55	6057.28	8331.43	4398.54	9276.68	2716.75	4048.52	3045.7	7862.67	7374.3	10341.27	3402.24	10531.3	10834.91	15600	4287.72	6188.8	6379.46	4488.65	10561.64	5809.31	6280.8	6901.77	25624	4724.19	4743.86	16517.36	5221.15	1795.63	4262.56	10543.1	7323.81	3987	10347.28	5228.34	3846.38	12394.6	8180.26	11235.44	5990.91	4425.28	9127.9	6769.22	4326.45	4793.8	6663.22	4177.28	8547.6	8397.23	4172.55	5883.8	7546.15	2941.88	4542.45	11485.8	13040.91	8344.12	10724.91	923.43	8146.56	4612.5	13393.86	9450.25	12352.4	3461.92	2666.83	1614.2	6740.13	5278.29	8263.5	7694.62	1984.58	5222.91	3265.38	16974.44	2441.23	4569.28	8082.83	3571.38	6094.82	6004.59	19814.99	7138.45	3771.07	1905.31	6917.82	5776.03	20099	2744.27	7000.55	4884.91	5116.42	7368.94	8688.67	5166.52	12425.62	1237.37	4084.64	6833.83	7616.1	5093.32	1576.1	9176.65	4269.97	8911.76	3876.58	15743.02	4312.61	5304.46	4953.74	4752.6	8205.48	1627.16	7610.23	11529.8	3783.5	767.85
I_Ubiquinone and other terpenoid-quinone biosynthesis	1808.8275	667.441	3371.2165	3475.224	2541.322	1910.35	1603.0565	2548.1185	1140.3475	1559.694	5410.36	1111.2725	2242.064	1437.938	1910.075	570.9775	508.7935	3713.127	3844.248	3984.6225	1999.2935	1504.882	3406.71	1429.153	3224.0665	1150.7865	1545.7755	2252.451	3006.4475	2951.8655	1100.8095	1857.798	2375.026	5961.4835	1591.2135	343.4055	3620.7395	1272.2665	952.885	1266.4005	2168.4935	2609.607	946.631	526.048	1387.4055	2015.809	3308.8895	1596.2035	3103.6905	843.878	2042.861	4738.7545	2030.9235	1054.618	1850.03	3893.5655	655.6365	909.3365	1421.551	2364.3625	2682.5815	3459.338	643.616	1116.973	4182.165	4600.1405	2151.764	3110.506	711.5885	1637.084	3593.0645	2719.5835	2484.5565	1909.3085	1462.903	367.176	202.4845	1056.9535	1889.4015	5242.656	2672.374	1464.2655	1726.0705	2692.528	3717.902	3773.9965	1648.3795	2892.308	1610.0705	2824.187	1878.044	8676.4585	2564.4225	3015.9525	1155.7205	1361.266	1326.9995	5115.261	629.9985	1256.9745	2017.9555	1795.1165	2368.0765	1770.122	1549.145	1617.217	882.0705	658.5275	1758.4955	1940.682	2089.1045	900.179	1799.63	956.387	4248.0905	1048.128	5262.2955	1062.493	958.4085	815.063	678.885	1239.866	1174.961	1426.3165	4273.168	2115.8825	2380.11
D_Steroid hormone biosynthesis	108.067777777778	109.103333333333	369.150555555556	18.6422222222222	114.242777777778	322.294444444444	287.752222222222	312.632777777778	153.921666666667	227.320555555556	462.123888888889	204.145	522.376666666667	256.155	331.061111111111	55.0444444444445	111.455	228.828888888889	796.565	454.346111111111	524.286111111111	159.851111111111	852.361666666667	310.521666666667	924.046111111111	369.799444444444	232.766666666667	454.322777777778	152.597222222222	677.234444444445	233.416111111111	74.5233333333333	307.484444444444	1246.35444444444	193.027222222222	2.19611111111111	469.585	221.151666666667	126.456111111111	254.297222222222	394.290555555556	429.608888888889	148.319444444444	140.173888888889	204.906111111111	217.114444444444	1254.44	346.195	647.862222222222	134	401.941666666667	675.883333333333	423.361111111111	213.418333333333	220.643333333333	430.897222222222	136.708333333333	235.185	414.341666666667	201.930555555556	329.930555555556	380.123333333333	101.169444444444	114.543888888889	38.0444444444445	737.315	326.270555555556	460.681111111111	79.4611111111111	472.144444444444	361.31	526.344444444444	336.5	299.930555555556	201.727222222222	96.6572222222222	15.3766666666667	325.271111111111	342.256666666667	631.055555555556	390.693888888889	104.295	186.376666666667	320.090555555556	1243.73722222222	279.954444444444	348.141111111111	448.018333333333	101.611111111111	364.781666666667	479.972222222222	1116.71222222222	431.297777777778	157.036666666667	48.2744444444444	179.427222222222	334.615555555556	1237.69444444444	133.445555555556	295.669444444444	231.444444444444	329.779444444444	291.067777777778	474.097222222222	230.351111111111	19.5483333333333	73.0483333333333	94.2438888888889	328.977222222222	416.162777777778	390.281666666667	100.493888888889	308.513888888889	159.787222222222	364.945	111.444444444444	860.019444444445	190.527222222222	188.312777777778	71.4772222222222	152.208333333333	305.147222222222	150.765	360.666666666667	388.47	460.226666666667	80.9027777777778
C_Oxidative phosphorylation	1495.32417475728	2134.2986407767	2514.66466019418	2838.59572815534	3184.97893203884	1841.5445631068	2118.3686407767	2234.95912621359	1324.42902912621	3191.74300970874	5555.27116504854	1842.05097087379	2719.74524271845	1688.75611650485	3488.06796116505	1312.10466019418	1095.51951456311	3037.05883495145	3429.01116504854	3519.22485436893	2462.7613592233	1400.32388349515	2512.10669902913	3073.90572815534	4182.56708737864	1484.92533980583	1586.6413592233	1415.24601941748	2448.08650485437	3726.03660194175	2180.99563106796	2557.29825242718	2379.85330097087	4923.09873786408	2063.90116504854	1982.79242718447	3937.20233009709	1704.93563106796	841.024951456311	1556.23038834951	3742.70873786408	2409.70699029126	1401.66116504854	2624.0840776699	2024.05786407767	1733.78174757282	4856.02339805826	2649.62805825243	3600.32262135922	1834.70766990291	1359.25	3800.6154368932	2417.05902912621	1480.98330097087	2216.27174757282	2504.54582524272	1476.55854368932	2580.10699029126	2162.16844660194	1539.78912621359	2454.34601941747	3246.62893203883	795.309514563107	2279.39203883495	2543.1313592233	5310.04815533981	3530.32165048544	3201.27223300971	769.653689320388	2043.48660194175	3459.90825242718	4596.02	2595.68038834952	3287.3786407767	1524.07029126214	1089.54980582524	620.43640776699	1552.83320388349	1729.55388349515	4804.06388349515	2713.18990291262	1372.08689320388	1680.12980582524	1734.10446601942	5646.44281553398	2422.88737864078	1814.89844660194	2259.00203883495	2565.25796116505	2776.3827184466	2047.61679611651	7978.90291262136	2357.04990291262	3115.71650485437	1256.70349514563	2464.85640776699	1672.80145631068	8040.48291262136	827.594854368932	2353.12446601942	2373.72699029126	1777.48427184466	2607.64475728155	2332.37330097087	2580.36145631068	3333.44281553398	1335.83252427184	1220.49097087379	2399.55902912621	2828.0540776699	2230.1559223301	922.102621359223	2249.88203883495	1019.2086407767	4099.53796116505	1730.05067961165	7030.04941747573	1561.38689320388	1616.53524271845	2130.25009708738	1307.19640776699	1733.54087378641	857.502330097087	1848.98883495146	4299.67359223301	1972.65330097087	1693.32077669903
C_Photosynthesis	0	0	0	2457.1828125	0	0	0	1886.61125	0	0	4014.16	0	2942.365	0	0	0	1536.1125	2956.57125	2962.5640625	3356.94625	0	0	0	4415.1475	0	0	0	1452.955	2317.82625	0	0	3411.358125	0	0	2265.671875	0	0	2085.39125	0	0	0	0	0	0	0	0	0	0	0	0	0	3266.284375	0	0	0	0	0	0	0	0	0	0	1059.68625	0	1879.77375	0	0	0	691.560625	0	0	5586.2003125	0	0	0	0	0	0	1755.54125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2853.55625	0	0	900.5028125	2593.9815625	0	0	2614.1175	0	0	0	1327.43375	1801.51625	0	3041.5	2289.371875	0	0	0	0	1800.42625	8518.638125	0	0	0	0	2216.245625	0	0	0	0	0
C_Photosynthesis - antenna proteins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.71428571428571	0	0	0	0	0	1.14285714285714	0	0	0	0	6.85714285714286	0	0	1.14285714285714	0	0	5.71428571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14285714285714	0	0	0	2.85714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14285714285714	0	0	0	0	0	0	0	1.14285714285714	0	0	0	0	0	0	0	0	0	0	0
E_Purine metabolism	2846.08806722689	4708.55142857143	4508.2587394958	5712.04411764706	6675.75302521009	2993.91411764706	2998.50630252101	3755.89554621849	2335.38336134454	6770.91344537815	7901.14126050421	3355.52302521008	4999.33294117647	3142.18697478991	7085.42663865546	2722.90159663866	2167.63739495798	5484.00117647059	5827.91588235294	5996.81016806722	4613.80605042017	2371.00092436975	4555.42151260504	5994.76672268908	7668.84546218487	2968.1787394958	3212.53243697479	2855.16	4578.99403361344	6929.34478991597	4291.7331092437	5089.31521008403	4407.17033613446	9057.63890756303	3839.8556302521	4021.68831932773	6984.51352941177	3361.96806722689	1703.53773109244	2765.86336134454	6894.9825210084	4606.86899159664	2513.44453781513	5779.9149579832	3822.41974789916	3375.0887394958	8952.2437815126	5267.46092436975	6381.23294117647	3721.41445378151	2463.29235294118	6927.06369747899	4148.19588235294	2711.66672268907	4339.10882352941	4400.60159663865	3062.16857142857	5315.58319327731	3843.51865546218	2727.32327731092	4300.19571428572	5535.26613445378	1520.34840336134	4579.43235294117	4281.69445378151	9600.70991596638	6580.94352941176	5894.51462184874	1235.26369747899	3497.38579831933	4741.79226890756	8926.60092436975	4770.89411764706	6575.3456302521	2712.46067226891	2210.76420168067	1261.77210084034	2860.0725210084	3138.63025210084	8015.21411764706	3824.28781512605	2419.4512605042	3017.83159663866	3266.67243697479	10401.1500840336	4626.4281512605	2806.69050420168	3961.07	4507.3325210084	4993.05067226891	3373.41235294118	10395.3950420168	4314.00420168067	4543.95411764706	2037.7056302521	4560.0743697479	3434.23773109244	12778.3719327731	1527.49907563025	4532.22411764706	4373.41193277311	3372.17882352941	5204.57420168067	4105.80546218487	5259.28957983193	7780.72672268907	2317.4556302521	2321.10336134454	4384.56453781513	5504.77025210084	4084.47747899159	1632.52529411765	4246.31638655462	1922.30983193277	5708.13462184874	3407.51739495798	13160.5935294118	3057.78285714286	2968.45050420168	4370.88352941177	2487.50537815126	3586.14487394958	1550.21025210084	3120.77361344538	7267.19907563026	3327.20647058823	2319.5725210084
E_Pyrimidine metabolism	3628.45973333333	6503.49106666667	5362.472	6680.518	7864.3736	3760.5332	3617.80773333333	4576.96266666667	3041.5248	8471.79533333334	9720.64026666667	4522.4864	6578.9728	4030.8992	9833.7568	3573.518	2907.26146666667	7230.0976	7312.35986666667	7086.6104	5928.2496	2880.5904	5723.56946666667	7650.26893333334	9905.85	3893.69666666667	4188.78973333333	3327.50413333334	5426.65186666667	9257.74946666667	5744.86493333334	6936.88893333333	5507.3124	11415.6606666667	5077.34986666667	4918.43453333333	8954.2792	4272.91906666667	2125.0952	3618.6756	9075.4952	5595.74346666667	3443.04026666667	7229.23586666667	5212.99706666667	4091.75466666667	11334.8254666667	6874.69773333333	8359.29453333333	4877.07106666667	2908.22026666667	8374.43613333334	5426.45546666667	3690.36946666667	5631.348	5124.06573333333	4096.2412	6912.88306666667	5102.44653333333	3312.37893333333	5936.10346666667	7010.68573333333	1935.80466666667	6181.35026666667	4802.74733333333	12571.2128	8803.8952	7347.93586666667	1519.9016	4621.94546666667	5692.1408	11995.1581333333	5933.70746666667	8391.57453333334	3447.03706666667	2988.62426666667	1677.132	3793.86106666667	4025.25653333333	10316.8930666667	4640.04626666667	3041.22933333333	3835.41386666667	3680.6288	14118.6101333333	5018.48173333333	3531.4756	4836.36853333333	5969.8892	6405.22133333333	4335.6128	12207.0825333333	5310.68613333333	5422.87973333333	2614.45266666667	6273.63826666667	4172.09653333333	16508.3269333333	2054.60066666667	6021.02813333333	5659.85386666667	4197.84373333333	6733.77773333333	5459.4004	6912.54786666667	9256.42813333333	3006.66213333333	3035.87773333333	5711.77813333333	7272.13053333333	5260.848	2145.0236	5307.4816	2447.3988	6679.83213333334	4517.0392	17515.8073333333	3927.02773333333	3929.8824	5738.33973333334	3222.50933333333	4795.33333333334	1848.7772	4105.1744	9081.38653333333	4224.18453333333	2414.6852
F_Alanine, aspartate and glutamate metabolism	4640.52111111111	9383.01592592593	8088.19777777778	9209.76148148148	11070.8985185185	6004.67333333333	5495.14111111111	7418.03481481482	4700.13444444444	12690.9481481481	15332.1237037037	6897.59851851852	10664.5966666667	6383.34518518519	14431.3996296296	5274.09703703704	4639.38148148148	9518.26037037037	12314.6462962963	11295.4440740741	9640.95814814815	4753.74296296296	9583.50740740741	12343.112962963	16302.777037037	6150.20259259259	6516.5662962963	5412.65740740741	7598.31777777778	14454.8003703704	8432.02962962963	9771.39	8549.44777777778	19684.7577777778	7665.12222222222	7546.90296296296	15052.9107407407	6556.35148148148	3210.04814814815	5737.35481481482	13730.4592592593	8597.93185185185	5259.9562962963	10812.7685185185	7805.87407407407	6165.49111111111	18607.9548148148	10781.8362962963	13343.0103703704	7222.5437037037	4949.19037037037	12522.9588888889	8527.33222222222	5578.45259259259	8360.12185185185	8063.29703703704	6176.47851851852	10871.5785185185	8539.16333333333	5055.1	9519.80296296296	10419.8848148148	3067.62481481482	9082.8037037037	6827.34592592593	18554.4607407407	13448.8507407407	11521.2166666667	2373.62	7737.46925925926	9175.90888888889	18491.1892592593	9697.50814814815	13189.3185185185	5324.23814814815	4458.64	2443.66777777778	6094.15851851852	6609.67481481481	15801.3162962963	7767.8462962963	4431.3	5860.06518518519	5546.68555555556	22150.2503703704	7394.02518518519	5761.41444444444	8362.81111111111	9175.71037037037	9509.81259259259	7351.69259259259	20953.1051851852	8531.65407407407	9118.05925925926	3997.39481481482	9410.74296296296	6583.76222222222	29422.1	3215.94111111111	9284.89925925926	8249.35481481481	6619.88777777778	9853.45666666667	8568.7	9878.8237037037	14209.8544444444	4429.48777777778	4642.62444444444	8787.30962962963	10951.78	7772.21888888889	3455.1562962963	8376.97925925926	4108.3037037037	10556.3862962963	6778.1937037037	27339.032962963	5846.2362962963	5975.89259259259	8193.04111111111	5107.47	7623.28962962963	2854.77185185185	7069.18185185185	14329.5477777778	6429.07481481482	4128.4137037037
J_Tetracycline biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9503.29111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F_Glycine, serine and threonine metabolism	3415.36647058823	6623.87970588235	5818.63235294118	7098.22558823529	7965.18117647059	4098.91617647059	4124.72235294118	5151.86058823529	3080.27529411765	8303.84235294118	11390.7788235294	4324.12323529412	6773.34941176471	4009.38029411765	10121.0811764706	3504.63441176471	2721.01205882353	6795.39705882353	7535.74352941177	7888.94411764706	5831.275	3124.08588235294	5866.75588235294	7486.47941176471	10122.3908823529	3830.48352941176	3964.53058823529	3666.58735294118	5774.63294117647	9042.41911764706	5548.24647058824	6401.78029411765	5651.73029411765	11863.7811764706	5002.20147058824	4860.23088235294	9165.76411764706	4142.39117647059	2141.63852941176	3609.13705882353	8699.245	5911.86823529412	3407.34264705882	6596.90147058823	4870.81176470588	4215.48294117647	11753.9094117647	6847.50411764706	8117.495	4552.82294117647	3183.83147058824	9107.67441176471	5438.34882352941	3514.17794117647	5452.06323529412	5562.04794117647	3942.47705882353	6446.31529411765	4957.98970588235	3358.82235294118	5758.99823529412	7006.35264705882	1887.13735294118	6125.41735294117	5769.77088235294	12252.7738235294	8400.25823529412	7540.45117647059	1747.86852941176	4711.50764705882	7038.90764705882	11329.7291176471	6132.12764705882	7981.6144117647	3530.54441176471	2825.35117647059	1504.85382352941	3593.49264705882	4090.48970588235	11376.9902941176	5317.24617647059	3103.72764705882	3690.91176470588	4072.75294117647	13386.0979411765	5673.93882352941	3852.04205882353	5131.575	5916.54529411765	6874.69823529412	4607.62970588235	14458.7885294118	5573.75029411765	7106.58352941176	2636.35764705882	5784.14558823529	4425.57176470588	17292.8388235294	2002.92823529412	5684.82970588235	5790.89147058824	4351.65147058824	6872.59941176471	5150.46764705882	6529.62558823529	9915.08647058824	3041.80941176471	2833.94058823529	5778.38529411765	7165.29235294118	5130.77029411765	2104.83117647059	5514.86411764706	2551.43382352941	7679.45411764706	4396.63058823529	16977.9508823529	3812.71617647059	3785.885	5409.50823529412	3256.81352941177	4777.17676470588	1958.58588235294	4061.97735294118	9493.75294117647	4340.83588235294	3621.43088235294
F_Cysteine and methionine metabolism	3476.66303030303	8048.89636363636	5958.16939393939	8375.60151515152	9551.84757575758	4110.6703030303	4242.18363636364	5245.79424242424	3439.48909090909	9833.31696969697	11546.2572727273	5012.19303030303	7554.78575757576	4543.94303030303	11222.1772727273	3905.49121212121	3460.83454545455	6905.81606060606	7749.36515151515	7768.54848484848	6559.48121212121	3246.32181818182	6328.78787878788	9042.06303030303	11515.8754545455	4340.67606060606	4577.68424242424	3925.2496969697	5961.31727272727	10200.7224242424	6355.16757575758	7375.09060606061	6115.44212121212	12769.86	5626.04212121212	6174.26939393939	9942.55454545455	4821.04666666667	2459.25878787879	4079.74333333333	10087.5321212121	6318.75303030303	3867.19939393939	8714.18787878788	5654.50666666667	4549.8203030303	12369.6242424242	7608.28393939394	9146.61909090909	5477.0496969697	3311.67606060606	10273.6303030303	5909.63666666667	4078.11151515152	6245.16757575758	5553.43696969697	4646.31	8170.65939393939	5552.98606060606	3473.11575757576	6275.74515151515	8000.6503030303	2158.39787878788	6861.27606060606	5370.82454545455	13174.57	9673.51454545454	8213.70393939394	1803.16303030303	5137.11575757576	6548.74848484848	13584.7518181818	6700.48848484849	9460.8003030303	3758.96212121212	3554.0396969697	1921.94272727273	4216.31181818182	4356.21060606061	11251.2333333333	5783.85	3286.54666666667	4175.25	4262.17787878788	15544.3006060606	5942.76090909091	4063.95787878788	5353.82727272727	6473.81787878788	7272.57212121212	4951.86242424242	15320.9260606061	6167.76151515152	6425.0203030303	2944.60151515152	7032.41242424242	4796.05181818182	20904.3078787879	2326.47090909091	6860.76242424242	6101.53484848485	4625.20303030303	7723.28424242424	5926.9396969697	7681.59060606061	11278.3754545455	3671.15272727273	3356.95484848485	5903.92484848485	8169.61878787879	5713.29	2365.15757575758	6058.87727272727	2844.65454545455	7919.97060606061	5182.27393939394	19146.1118181818	4506.93393939394	4327.90272727273	6479.88363636364	3641.02393939394	5517.66515151515	2082.33848484848	4530.75636363636	10005.5733333333	4583.38848484848	2927.38
F_Valine, leucine and isoleucine degradation	1277.69793103448	2111.10655172414	2627.00482758621	3265.02	2786.15620689655	2245.80827586207	4117.7424137931	3183.1324137931	1235.38931034483	2422.04034482759	8994.48172413793	1437.7775862069	2478.41827586207	1327.12103448276	2988.98931034483	1038.74965517241	781.159310344828	2749.29379310345	3049.8575862069	4579.08689655172	2218.95931034483	1664.86448275862	2510.71103448276	2187.26448275862	4131.17793103448	1331.14275862069	1255.01206896552	1426.61793103448	2483.66793103448	2965.8475862069	1671.54517241379	1987.53379310345	2207.83344827586	4963.58931034483	1803.01413793103	1031.13896551724	3698.23482758621	1276.58586206897	739.89	1195.16206896552	3098.71689655172	2466.23	1463.01586206897	1873.97034482759	1413.2024137931	1430.82344827586	4349.74551724138	2236.71517241379	3021.39586206897	1389.17517241379	1342.97896551724	3628.93655172414	2121.89413793103	1145.83724137931	1688.52689655172	2409.34793103448	1154.28827586207	1787.44620689655	1628.63655172414	1459.63655172414	1905.88413793103	1997.00172413793	647.285517241379	2121.94551724138	1543.64413793103	4925.61586206896	2364.09896551724	2914.48103448276	1280.04586206897	1906.19	6196.49965517241	3300.12655172414	2198.94379310345	2619.32931034483	1296.04137931035	653.162413793103	390.355172413793	1187.13	1555.40379310345	6385.45586206897	5300.5424137931	1392.11689655172	1383.11620689655	1620.02724137931	4567.51379310345	2223.55206896552	2383.32931034483	2195.69620689655	2673.95413793103	3323.63655172414	2398.18586206896	16373.4551724138	2249.16034482759	5537.45103448276	1362.44344827586	1709.43	1766.11689655172	6740.22620689655	714.715517241379	1987.60896551724	2122.37034482759	1498.48931034483	2333.90827586207	1723.94827586207	2070.00448275862	2540.60448275862	1243.79448275862	888.918965517241	1953.36034482759	2330.36620689655	1872.35689655172	711.575517241379	2778.85551724138	1075.29862068966	7408.39379310345	1439.13689655172	5184.57310344828	1331.71310344828	1196.57206896552	1483.99275862069	1205.26137931034	1579.5775862069	781.291724137931	1531.69862068965	5164.82137931035	1689.71482758621	3343.84586206897
F_Valine, leucine and isoleucine biosynthesis	6222.54909090909	11993.5118181818	10338.0654545455	11990.6727272727	17028.3254545455	7189.74545454546	7336.27363636364	8943.64090909091	5856.54545454545	18386.4472727273	20698.25	8935.16272727273	13065.8090909091	7845.67818181818	18912.4172727273	7103.92454545455	5815.14181818182	13682.0627272727	12127.53	14175.2554545455	11849.5281818182	5810.27363636364	9984.83363636364	16176.7918181818	19629.1618181818	7899.24909090909	8450.62090909091	6514.19090909091	10513.25	18257.1981818182	11347.8054545455	13592.4954545455	10988.4	21058.8918181818	9983.04727272727	11754.4336363636	16903.6318181818	8785.07636363636	4078.79090909091	7070.83545454545	18634.7727272727	10091.3254545455	6701.45909090909	16074.1390909091	9707.70272727273	7893.22545454545	21625.5572727273	13577.3254545455	16472.4172727273	10150.0218181818	5255.97090909091	15160.9445454545	10246.0036363636	7388.11818181818	11203.9472727273	9281.01181818182	8429.32818181818	14165.2672727273	9400.76909090909	5932.77727272727	10733.7654545455	13236.3954545455	3896.41090909091	11980.9890909091	9058.50090909091	23107.9327272727	18397.6390909091	13876.2545454545	3218.76727272727	8986.68727272727	11448.2890909091	23735.7054545455	11426.2381818182	17233.3663636364	6669.99909090909	6076.14090909091	3288.65909090909	7465.28454545455	7682.57272727273	21062.5472727273	10022.6445454545	6108.09636363636	7306.48818181818	7032.42090909091	27499.8036363636	9892.60545454545	6938.40181818182	8895.33909090909	12986.7645454545	12518.2890909091	8399.57727272727	25784.4427272727	10302.1172727273	11162.2154545455	4967.66454545455	12698.3890909091	8427.46727272727	32676.8872727273	3956.80181818182	12274.1145454545	10686.3181818182	8305.58636363636	12884.3481818182	10164.3654545455	13484.9827272727	21369.0281818182	6327.57909090909	5844.79181818182	11601.9118181818	14625.4945454545	9477.78	4074.22181818182	11106.8372727273	4695.73363636364	14410.1745454545	9228.26181818182	31310.6518181818	7860.18090909091	7845.01181818182	11742.9672727273	6325.56	9485.05545454545	3449.28636363636	7418.43363636364	17615.1945454545	8223.53909090909	5050.99181818182
F_Lysine biosynthesis	4063.034	9994.1335	7017.2965	8588.952	11424.089	5032.1975	5125.041	6117.771	4285.4375	12563.888	13515.624	6484.782	9442.708	5739.9625	14649.9775	5222.987	4218.503	8419.5545	9181.883	9594.322	8474.6085	4001.833	7384.473	11270.567	14165.1175	5381.546	5810.4345	4606.073	7439.719	13007.3745	8386.6115	9385.0115	7684.481	15661.5175	7153.35	8413.043	12579.6915	6111.57	2770.474	5132.9265	12781.2995	7643.634	4633.163	10514.025	7177.929	5503.976	16581.778	9847.4	11840.805	6960.9155	3751.9635	11190.031	7388.3195	5405.3935	7992.1445	6425.233	6033.811	10670.9025	7143.863	3927.1045	7656.4895	9336.549	2659.6685	8947.0855	6785.852	16846.769	12886.5125	10066.3745	2255.968	6905.752	7948.7545	17546.6585	8225.5715	11831.4095	4641.8575	4573.2815	2436.2805	5347.0595	5438.478	14425.233	6799.799	4083.724	4955.1395	4656.8725	20119.4395	6546.8925	4907.647	6325.39	8222.611	8873.489	6183.8735	17291.9045	7469.0775	7871.2395	3489.242	9086.258	6260.9785	26663.209	2924.0975	8862.3925	7896.559	5844.687	9418.912	7521.981	9805.127	15478.7005	4331.2445	4187.2525	8362.1305	10632.957	7114.763	2934.5355	7743.0735	3492.495	9076.2005	6684.456	24157.415	5761.873	5521.6685	8126.028	4751.862	7087.527	2363.457	5674.68	11979.3165	5907.2265	3289.26
