sample-id	simpson
ERR1513669	0.8038233594684172
ERR1513670	0.9370450770008587
ERR1513671	0.7743662175284289
ERR1513672	0.8668464958389843
ERR1513673	0.8859693120079609
ERR1513674	0.8299962282018152
ERR1513675	0.8667030471314271
ERR1513676	0.9245239107929604
ERR1513677	0.9013113017518799
ERR1513678	0.9471456716609554
ERR1513680	0.9508311999935799
ERR1513681	0.9443118073333386
ERR1513682	0.7898566716689805
ERR1513683	0.8521976743252895
ERR1513684	0.9279395950533268
ERR1513685	0.8133551749873604
ERR1513686	0.863608366971888
ERR1513688	0.928292699564237
ERR1513689	0.8804580728518807
ERR1513690	0.9406844609939892
ERR1513691	0.9162981807092586
ERR1513692	0.9638739978653227
ERR1513693	0.9579494659294272
ERR1513695	0.9158377404521343
ERR1513698	0.9042324390694091
ERR1513699	0.8826559478047332
ERR1513701	0.9203167507964914
ERR1513702	0.9543612419648662
ERR1513703	0.8176736832813039
ERR1513704	0.9478518806827757
ERR1513705	0.9442365719972072
ERR1513706	0.7980161946568867
ERR1513709	0.9308436790279996
ERR1513710	0.9602627017310146
ERR1513711	0.8983690985402338
ERR1513712	0.9518804821481595
ERR1513713	0.9234485470551886
ERR1513714	0.9658120601240681
ERR1513715	0.9683790897928721
ERR1513716	0.9362104663387074
ERR1513717	0.9777383656076206
ERR1513718	0.9558830020303509
ERR1513719	0.9262794019693601
ERR1513721	0.7685239428933704
ERR1513722	0.7953869704435474
ERR1513723	0.8846130696819652
ERR1513724	0.9494719482541389
ERR1513725	0.9041582068710927
ERR1513726	0.8413928769190027
ERR1513727	0.9491419159129758
ERR1513728	0.9149228787647762
ERR1513729	0.921249668964521
ERR1513730	0.9087485655129244
ERR1513731	0.7802877400508792
ERR1513732	0.716655699026555
ERR1513733	0.9615717965797013
ERR1513734	0.9595685303629754
ERR1513735	0.9452587694307795
ERR1513736	0.890038038985948
ERR1513737	0.8537635724546381
ERR1513738	0.9327075090884286
ERR1513739	0.9353236925101718
ERR1513740	0.8847976470399409
ERR1513741	0.9469330064441573
ERR1513742	0.9063089343466363
ERR1513743	0.9501430474524312
ERR1513744	0.9709531414263817
ERR1513745	0.821834698938279
ERR1513746	0.926172066223146
ERR1513748	0.8526932244059418
ERR1513749	0.9672445409240104
ERR1513750	0.8424491810382877
ERR1513751	0.8776101645948526
ERR1513752	0.9588994374403133
ERR1513753	0.9423867858661894
ERR1513754	0.9271491224550393
ERR1513755	0.7309213218948871
ERR1513756	0.894233161328636
ERR1513757	0.9491027935381875
ERR1513758	0.9380381834377934
ERR1513759	0.9433056601048079
ERR1513760	0.7217526422650049
ERR1513761	0.961052171191487
ERR1513762	0.8556695343033007
ERR1513763	0.9520560312657994
ERR1513764	0.7385210939819756
ERR1513765	0.914698175894197
ERR1513766	0.9222347502989351
ERR1513767	0.9439908032325113
ERR1513768	0.9812403197200844
ERR1513769	0.6378381577574653
ERR1513770	0.9668121885257084
ERR1513771	0.9676919403895384
ERR1513772	0.8837624088147726
ERR1513774	0.9652894253224085
ERR1513775	0.8989318588544969
ERR1513776	0.9427840284409633
ERR1513777	0.9796804404176264
ERR1513778	0.8809746888266498
ERR1513781	0.9013644680560794
ERR1513782	0.8619050389618728
ERR1513783	0.8917363513068879
ERR1513784	0.9243995217038897
ERR1513785	0.9659825935526326
ERR1513786	0.9327185436043945
ERR1513787	0.8870035470953141
ERR1513788	0.9549099583497179
ERR1513789	0.9371162997857297
ERR1513790	0.920697943166224
ERR1513793	0.9616650883965042
ERR1513795	0.8678977842691941
ERR1513796	0.9684924443659768
ERR1513797	0.9355794926530187
ERR1513798	0.9172481522201446
ERR1513799	0.9550002407530757
ERR1513800	0.9532517715413814
ERR1513801	0.95417265205563
ERR1513802	0.7653901403590431
ERR1513803	0.9544515243682238
ERR1513804	0.9238217143224005
ERR1513805	0.9662464187980001
ERR1513806	0.9361552937588777
ERR1513807	0.9466862345416462
ERR1513808	0.9434802060846327
ERR1513810	0.9543120882119269
ERR1513811	0.9126397370976413
ERR1513812	0.9374312850596667
ERR1513813	0.9747791090531182
ERR1513815	0.9016072274073301
ERR1513816	0.963219952009887
ERR1513817	0.9720525804717155
ERR1513818	0.917581193974753
ERR1513819	0.9399451484242711
ERR1513820	0.925339461836625
ERR1513821	0.8840352623004759
ERR1513823	0.9556673274001075
ERR1513824	0.9230693609610863
ERR1513825	0.9506044908473705
ERR1513826	0.9318317697758589
ERR1513827	0.890729200940542
ERR1513828	0.9668553234517571
ERR1513829	0.9596427625612918
ERR1513830	0.9083693794188221
ERR1513831	0.8523481449975523
ERR1513832	0.978704387323548
ERR1513833	0.9090966543347591
ERR1513834	0.8980390661990707
ERR1513835	0.9720886934330586
ERR1513836	0.8669056809700744
ERR1513837	0.9228576988821032
ERR1513838	0.9304534584179313
ERR1513839	0.8466212312112287
ERR1513840	0.8815484836568788
ERR1513841	0.9540452535531141
ERR1513842	0.8509297081270213
ERR1513843	0.9010765675031498
ERR1513844	0.9671101204567888
ERR1513846	0.9446528741904678
ERR1513847	0.9266315033424553
ERR1513849	0.7840785978540876
ERR1513850	0.9229991413140303
ERR1513851	0.9585934804067122
ERR1513853	0.9756628734682086
ERR1513854	0.8995267195788426
ERR1513855	0.9615587557881052
ERR1513856	0.9187418244268071
