# Constructed from biom file
#OTU ID	ERR1513669	ERR1513670	ERR1513671	ERR1513672	ERR1513673	ERR1513674	ERR1513675	ERR1513676	ERR1513677	ERR1513678	ERR1513680	ERR1513681	ERR1513682	ERR1513683	ERR1513684	ERR1513685	ERR1513686	ERR1513688	ERR1513689	ERR1513690	ERR1513691	ERR1513692	ERR1513693	ERR1513695	ERR1513698	ERR1513699	ERR1513701	ERR1513702	ERR1513703	ERR1513704	ERR1513705	ERR1513706	ERR1513709	ERR1513710	ERR1513711	ERR1513712	ERR1513713	ERR1513714	ERR1513715	ERR1513716	ERR1513717	ERR1513718	ERR1513719	ERR1513721	ERR1513722	ERR1513723	ERR1513724	ERR1513725	ERR1513726	ERR1513727	ERR1513728	ERR1513729	ERR1513730	ERR1513731	ERR1513732	ERR1513733	ERR1513734	ERR1513735	ERR1513736	ERR1513737	ERR1513738	ERR1513739	ERR1513740	ERR1513741	ERR1513742	ERR1513743	ERR1513744	ERR1513745	ERR1513746	ERR1513748	ERR1513749	ERR1513750	ERR1513751	ERR1513752	ERR1513753	ERR1513754	ERR1513755	ERR1513756	ERR1513757	ERR1513758	ERR1513759	ERR1513760	ERR1513761	ERR1513762	ERR1513763	ERR1513764	ERR1513765	ERR1513766	ERR1513767	ERR1513768	ERR1513769	ERR1513770	ERR1513771	ERR1513772	ERR1513774	ERR1513775	ERR1513776	ERR1513777	ERR1513778	ERR1513781	ERR1513782	ERR1513783	ERR1513784	ERR1513785	ERR1513786	ERR1513787	ERR1513788	ERR1513789	ERR1513790	ERR1513793	ERR1513795	ERR1513796	ERR1513797	ERR1513798	ERR1513799	ERR1513800	ERR1513801	ERR1513802	ERR1513803	ERR1513804	ERR1513805	ERR1513806	ERR1513807	ERR1513808	ERR1513810	ERR1513811	ERR1513812	ERR1513813	ERR1513815	ERR1513816	ERR1513817	ERR1513818	ERR1513819	ERR1513820	ERR1513821	ERR1513823	ERR1513824	ERR1513825	ERR1513826	ERR1513827	ERR1513828	ERR1513829	ERR1513830	ERR1513831	ERR1513832	ERR1513833	ERR1513834	ERR1513835	ERR1513836	ERR1513837	ERR1513838	ERR1513839	ERR1513840	ERR1513841	ERR1513842	ERR1513843	ERR1513844	ERR1513846	ERR1513847	ERR1513849	ERR1513850	ERR1513851	ERR1513853	ERR1513854	ERR1513855	ERR1513856	ERR1513857	ERR1513858	ERR1513859	ERR1513860	ERR1513861	ERR1513862	ERR1513863	ERR1513864	ERR1513865	ERR1513866	ERR1513867	ERR1513869	ERR1513870	ERR1513871	ERR1513872	ERR1513873	ERR1513874	ERR1513875	ERR1513876	ERR1513877	ERR1513878	ERR1513879	ERR1513880	ERR1513881	ERR1513882	ERR1513883	ERR1513884	ERR1513885	ERR1513886	ERR1513887	ERR1513888	ERR1513889	ERR1513890	ERR1513891	ERR1513892	ERR1513894	ERR1513896	ERR1513898	ERR1513899	ERR1513901	ERR1513902	ERR1513903	ERR1513904	ERR1513905	ERR1513906	ERR1513907	ERR1513908	ERR1513909	ERR1513910	ERR1513911	ERR1513912	ERR1513913	ERR1513914	ERR1513916	ERR1513917	ERR1513918	ERR1513919	ERR1513921	ERR1513922	ERR1513923	ERR1513924	ERR1513925	ERR1513926	ERR1513927	ERR1513928	ERR1513929	ERR1513930	ERR1513931	ERR1513932	ERR1513933	ERR1513934	ERR1513935	ERR1513937	ERR1513938	ERR1513939	ERR1513940	ERR1513942	ERR1513943	ERR1513944	ERR1513946	ERR1513947	ERR1513948	ERR1513949	ERR1513950	ERR1513951	ERR1513952	ERR1513953	ERR1513954	ERR1513955	ERR1513956	ERR1513957	ERR1513958	ERR1513959	ERR1513960	ERR1513961	ERR1513962	ERR1513963	ERR1513965	ERR1513966	ERR1513967	ERR1513968	ERR1513969	ERR1513970	ERR1513971	ERR1513973	ERR1513974	ERR1513975	ERR1513976	ERR1513977	ERR1513978	ERR1513979	ERR1513980	ERR1513981	ERR1513983	ERR1513984	ERR1513985	ERR1513986	ERR1513987	ERR1513988	ERR1513989	ERR1513990	ERR1513991	ERR1513992	ERR1513993	ERR1513994	ERR1513995	ERR1513996	ERR1513997	ERR1513998	ERR1513999	ERR1514000	ERR1514001	ERR1514002	ERR1514003	ERR1514004	ERR1514005	ERR1514006	ERR1514007	ERR1514008	ERR1514009	ERR1514010	ERR1514011	ERR1514012	ERR1514013	ERR1514014	ERR1514015
d__Bacteria	1.0	1.0	1.0	0.9998325799430772	1.0	0.9996423206237929	0.9995295224653022	0.9977707464403854	1.0	1.0	0.999377154009052	1.0	1.0	1.0	1.0	0.9988887124940466	1.0	1.0	0.9984758033786358	0.9998344736261311	1.0	0.9989583333333333	1.0	1.0	0.9999176242843609	0.9983865546218488	1.0	1.0	1.0	1.0	1.0	0.999803343166175	1.0	1.0	0.9984484376127589	0.9998502994011976	1.0	0.9992866605523285	1.0	1.0	0.999749132416273	1.0	1.0	1.0	1.0	0.9998589761669722	1.0	1.0	0.9998622874061833	1.0	1.0	1.0	1.0	1.0	0.9998009422068874	1.0	0.999294374238245	1.0	1.0	1.0	1.0	0.9998027418877601	1.0	1.0	1.0	0.999796437659033	0.999907019990702	0.9998953537044789	1.0	1.0	1.0	1.0	1.0	0.999824479288556	1.0	1.0	1.0	0.9998254697771831	1.0	0.9964492239017957	0.9998812845016917	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.99945694804803	1.0	0.9987701221678646	1.0	1.0	1.0	0.9998428661219358	0.9982526392428104	1.0	1.0	0.9972510210493245	1.0	1.0	0.994833219360231	0.998995983935743	0.9971870604781997	1.0	1.0	1.0	0.9952336246118293	0.998657042135303	1.0	0.9995363214837713	0.9973185447010787	1.0	0.9988518943742825	1.0	1.0	0.999864480281881	0.9955300127713921	1.0	1.0	0.999289930324413	0.996267240288498	1.0	1.0	1.0	1.0	0.9990251345738143	1.0	0.9999354422207876	1.0	1.0	1.0	1.0	1.0	0.9997719108171295	1.0	0.996202804746494	1.0	1.0	1.0	1.0	1.0	0.9977309325135412	1.0	1.0	1.0	0.9997740878798147	1.0	1.0	0.9936720303742542	1.0	1.0	1.0	0.9999181434944542	1.0	1.0	1.0	0.9950327836280548	1.0	1.0	1.0	0.999679856575746	1.0	1.0	1.0	0.9995650282731623	1.0	0.9988106565176023	1.0	1.0	0.9990739311622164	1.0	1.0	1.0	0.997773591368385	0.999654417693814	0.9937987094611581	1.0	1.0	1.0	0.9996815793663429	0.9996294065872979	1.0	1.0	1.0	0.9998747220395252	1.0	1.0	1.0	1.0	0.9995037220843672	0.9997874902599703	0.9990796981409903	0.9992345325656472	1.0	0.9978472837786502	1.0	0.9969768223043333	1.0	1.0	0.9997662094763092	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9997080291970802	0.9984781405644715	1.0	0.997795782199452	1.0	0.9988664885434377	0.9967072564612326	1.0	0.999634009009009	0.9995893785929373	0.9974928507070945	1.0	1.0	1.0	0.999349452455817	0.9995991754466331	1.0	0.9970670826833073	1.0	0.99918509895227	0.9860712476785413	0.9996282527881041	0.9996719698212235	0.9991177767975298	0.9962817147856518	1.0	0.9994707127734651	0.9997522606218259	0.9978070175438597	1.0	0.9992241295703618	0.9905414463394653	0.9994347443788468	0.999280501593175	1.0	1.0	0.9951209011982493	0.9996205221615058	0.9982049480995864	1.0	1.0	1.0	1.0	0.9940648658753154	1.0	0.9959523809523809	1.0	0.9996301775147929	0.9998032270759544	1.0	1.0	1.0	1.0	1.0	0.9983818770226537	1.0	1.0	1.0	1.0	1.0	0.9961331347387717	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9990095741168703	1.0	0.998863296440323	1.0	1.0	0.9983657703164462	0.9996275050286821	0.9989954499793181	1.0	0.998920563269712	1.0	0.9994804924931165	0.9999083619702176	0.9993758581949819	1.0	1.0	0.99959388801462	1.0	0.999799819837854	1.0	1.0	1.0	0.9701640526410672	0.9996264885529728	0.9994519689971033	1.0	0.9997977482640059	1.0	0.9993921434541448	0.9995859784708805	1.0	1.0	0.9990901455767077	1.0
d__Archaea	0.0	0.0	0.0	0.00016742005692281934	0.0	0.0003576793762071679	0.0004704775346977182	0.002229253559614555	0.0	0.0	0.0006228459909479716	0.0	0.0	0.0	0.0	0.001111287505953326	0.0	0.0	0.0015241966213641559	0.0001655263738689031	0.0	0.0010416666666666667	0.0	0.0	0.0	0.0016134453781512605	0.0	0.0	0.0	0.0	0.0	0.00019665683382497542	0.0	0.0	0.0015515623872411055	0.0	0.0	0.0007133394476714562	0.0	0.0	0.00025086758372705605	0.0	0.0	0.0	0.0	0.0001410238330277817	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007056257617550837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002035623409669211	9.298000929800093e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001745302228169178	0.0	0.0035507760982043217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00042237374042116695	0.0	0.0012298778321353412	0.0	0.0	0.0	0.0	0.0017473607571896616	0.0	0.0	0.0027489789506754633	0.0	0.0	0.005166780639769015	0.001004016064257028	0.0028129395218002813	0.0	0.0	0.0	0.004766375388170723	0.001342957864696995	0.0	0.0004636785162287481	0.002498628801267597	0.0	0.001148105625717566	0.0	0.0	0.0	0.004469987228607918	0.0	0.0	0.0007100696755869169	0.003732759711501961	0.0	0.0	0.0	0.0	0.0009748654261857331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00022808918287050236	0.0	0.003797195253505933	0.0	0.0	0.0	0.0	0.0	0.002269067486458791	0.0	0.0	0.0	0.00022591212018524794	0.0	0.0	0.0063279696257457965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004967216371945162	0.0	0.0	0.0	0.0003201434242540658	0.0	0.0	0.0	0.00043497172683775554	0.0	0.0011893434823977164	0.0	0.0	0.0009260688377836086	0.0	0.0	0.0	0.002055146429183079	0.0	0.006201290538841867	0.0	0.0	0.0	0.0	0.0002779450595265669	0.0	0.0	0.0	0.00012527796047480348	0.0	0.0	0.0	0.0	0.0004962779156327543	0.00021250974002975137	0.0009203018590097553	0.0007654674343528472	0.0	0.0021527162213498797	0.0	0.0030231776956667787	0.0	0.0	0.00023379052369077306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015218594355285002	0.0	0.002204217800548076	0.0	0.0011335114565622216	0.003168489065606362	0.0	0.000365990990990991	0.0004106214070626882	0.002507149292905551	0.0	0.0	0.0	0.0006505475441830207	0.00040082455336692627	0.0	0.002932917316692668	0.0	0.0006984866123399302	0.01392875232145872	0.00028913672036348615	0.0003280301787764474	0.000882223202470225	0.0037182852143482063	0.0	0.000529287226534933	0.0002477393781741608	0.0021929824561403508	0.0	0.0007758704296382504	0.009458553660534743	0.0005652556211531214	0.0007194984068249563	0.0	0.0	0.004879098801750735	0.0003794778384942319	0.001638960430812456	0.0	0.0	0.0	0.0	0.00593513412468455	0.0	0.004047619047619047	0.0	0.0003698224852071006	0.0	0.0	0.0	0.0	0.0	0.0	0.0016181229773462784	0.0	0.0	0.0	0.0	0.0	0.003866865261228231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009904258831297458	0.0	0.001136703559676937	0.0	0.0	0.0016342296835537068	0.0	0.0010045500206819122	0.0	0.0010794367302880132	0.0	0.0005195075068834744	0.0	0.0006241418050181001	0.0	0.0	0.0004061119853799685	0.0	0.0	0.0	0.0	0.0	0.029835947358932757	0.0003735114470272883	0.00031316057308384876	0.0	0.0	0.0	0.0003039282729275891	0.0004140215291195142	0.0	0.0	0.0009098544232922733	0.0
Unassigned	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.237571563902961e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001497005988023952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00013771259381670453	0.0	0.0	0.0	0.0	0.0	0.00019905779311260035	0.0	0.0	0.0	0.0	0.0	0.0	0.00019725811223986585	0.0	0.0	0.0	0.0	0.0	0.00010464629552113855	0.0	0.0	0.0	0.0	0.0	0.00017552071144395038	0.0	0.0	0.0	0.0	0.0	0.0	0.00011871549830830414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00012067821154890484	0.0	0.0	0.0	0.0	0.0	0.00015713387806411063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001828264976537266	0.0	0.0	0.0	0.0	0.0001355197181189863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.45577792123951e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.185650554577825e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00017126220243192326	0.0003455823061859233	0.0	0.0	0.0	0.0	0.000318420633657061	9.26483531755223e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00029197080291970805	0.0	0.0	0.0	0.0	0.0	0.00012425447316103378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00011641443538998836	0.0	8.261049153242462e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001560914696011863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001967729240456513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003724949713178872	0.0	0.0	0.0	0.0	0.0	9.163802978235968e-05	0.0	0.0	0.0	0.0	0.0	0.00020018016214593134	0.0	0.0	0.0	0.0	0.0	0.00023487042981288657	0.0	0.00020225173599406729	0.0	0.0003039282729275891	0.0	0.0	0.0	0.0	0.0
